target,source_column,source_type,n_finite,nan_fraction,min,p01,p05,mean,std,p50,p95,p99,max,hash,prob_like
core,core_probability,model_probability,7756,0.0,0.0,0.00010580181186078999,0.00023223794232905,0.11405484916005042,0.251183955034702,0.0071573732248113,0.8466335051605014,0.9592616198058747,1.0,0dfa8f682f5e22f1,True
peri,peri_probability,model_probability,7756,0.0,0.0,0.00010580181186078999,0.00023223794232905,0.11405484916005042,0.251183955034702,0.0071573732248113,0.8466335051605014,0.9592616198058747,1.0,0dfa8f682f5e22f1,True
remote,remote_probability,model_probability,7756,0.0,0.0,0.00010580181186078999,0.00023223794232905,0.11405484916005042,0.251183955034702,0.0071573732248113,0.8466335051605014,0.9592616198058747,1.0,0dfa8f682f5e22f1,True
repair,repair_score,model_score,7756,0.0,0.0,0.026376929859088034,0.08137655461902996,0.7472313909479167,0.29552963138596633,0.8868856359591857,0.9928890522890385,0.996297440002989,1.0,1e9001f68169ff73,True
